Sec|ImpteDel|ImpteAl|Del0809|Al0809|Del1009|A11009|Tasa
1|10000.01|20000|0|0.5|1.9|2.1|1
2|10000.01|20000|0.5001|1|1.8|2|1
3|10000.01|20000|1.0001|1.5|1.4|1.6|1
4|10000.01|20000|1.5001|2|1.3|1.5|1
5|10000.01|20000|2.0001|999|1.35|1.55|1
6|10000.01|20000|0|0.5|2.1001|999|1.5
7|10000.01|20000|0.5001|1|2.0001|999|1.5
8|10000.01|20000|1.0001|1.5|1.6001|999|1.5
9|10000.01|20000|1.5001|2|1.5001|999|1.5
10|10000.01|20000|2.0001|999|1.5501|999|1.5
11|20000.01|30000|0|0.5|1.85|2.05|1
12|20000.01|30000|0.5001|1|1.75|1.95|1
13|20000.01|30000|1.0001|1.5|1.35|1.55|1
14|20000.01|30000|1.5001|2|1.25|1.45|1
15|20000.01|30000|2.0001|999|1.3|1.5|1
16|20000.01|30000|0|0.5|2.0501|2.4|1.5
17|20000.01|30000|0.5001|1|1.9501|2.3|1.5
18|20000.01|30000|1.0001|1.5|1.5501|1.9|1.5
19|20000.01|30000|1.5001|2|1.4501|1.8|1.5
20|20000.01|30000|2.0001|999|1.5001|1.85|1.5
21|20000.01|30000|0|0.5|2.4001|999|2
22|20000.01|30000|0.5001|1|2.3001|999|2
23|20000.01|30000|1.0001|1.5|1.9001|999|2
24|20000.01|30000|1.5001|2|1.8001|999|2
25|20000.01|30000|2.0001|999|1.8501|999|2
26|30000.01|99999999|0|0.5|1.8|2|1
27|30000.01|99999999|0.5001|1|1.7|1.9|1
28|30000.01|99999999|1.0001|1.5|1.3|1.5|1
29|30000.01|99999999|1.5001|2|1.2|1.4|1
30|30000.01|99999999|2.0001|999|1.25|1.45|1
31|30000.01|99999999|0|0.5|2.0001|2.35|1.5
32|30000.01|99999999|0.5001|1|1.9001|2.25|1.5
33|30000.01|99999999|1.0001|1.5|1.5001|1.85|1.5
34|30000.01|99999999|1.5001|2|1.4001|1.75|1.5
35|30000.01|99999999|2.0001|999|1.4501|1.8|1.5
36|30000.01|99999999|0|0.5|2.3501|999|2
37|30000.01|99999999|0.5001|1|2.2501|999|2
38|30000.01|99999999|1.0001|1.5|1.8501|999|2
39|30000.01|99999999|1.5001|2|1.7501|999|2
40|30000.01|99999999|2.0001|999|1.8001|999|2
