codmat|descripcion|marca|codfam|subfam|Estado|undbase|und A|und B|und C 
000072|CINTA LIFT OF 141|PELIKAN|000|120|D|UNI|CJA||
000083|CINTA GR 149 CORRECT                    |S/M|000|120|D|UNI|||
000106|CINTA CORRECT P/MAQ OLIV NU-KOTE        |S/M|000|120|D|UNI|RLL||
000134|CINTA CORRECT TOWA                      |S/M|000|120|D|UNI|CJA||
000164|DISKETTE 3.5  HD      LICIT|3M|000|150|D|UNI|DEC10||
000205|TRANSP.   A4  P/FOTOC|S/M|000|255|D|CJA|UNI||
000261|CINTA LX-810|EPSON|000|360|D|UNI|CJA|DOC|
000420|CALCULADORA DE BOLSILLO HL-812E         |S/M|000|620|D|UNI|DOC|O/D12|
000456|ABECEDARIO PLASTIFICADO X 2 COL|S/M|001|001|D|UNI|||
000457|ABECEDARIO PLASTIFICADO X 4 COL         |S/M|001|001|D|UNI|CTO||
000458|ABECEDARIO PLASTIFICADO.                |S/M|001|001|D|UNI|DOC||
000459|ABECEDARIO PERUANO MARFIL|S/M|001|001|D|UNI|CTO||
000483|ADC BILLETERA PORTADOCUMENTO|S/M|001|004|D|UNI|DOC||
000494|ADC CARNET DE TRABAJO|S/M|001|004|D|UNI|DOC|CTO|
000513|MONEDERO DITO|DITO|001|004|D|UNI|DOC||
000525|DIARIO  COMERCIAL|MINERVA|001|004|D|UNI|DOC||
000540|ALBUM  X  48 FOTOS ECONOMICA|ARTESCO|001|005|D|UNI|DOC||
000542|ALFILERES  EN DISCO  CJA X|NEW CROWN|001|006|D|UNI|DOC||
000547|ALFILERES  CJA X 50 GR  # 10|INVASA|001|006|D|UNI|KLG20||
000560|ARCHIVADOR L/ANGOS 1/2 OF PLAST. LIC|LIVOR|001|007|D|UNI|||
000665|ANILLO PLASTICO 1 1/2 300 HJ|S/M|001|008|D|UNI|CTO||
000666|ANILLO PLASTICO 1/2 12 MM 80 HJ   COL|SEGRES|001|008|D|UNI|CTO||
000667|ANILLO PLASTICO 7 1/6  AZUL|S/M|001|008|D|UNI|CTO||
000806|BOLIGRAFO PKR GT|PARKER|001|018|D|UNI|||
000810|BOLIGRAFO P.M KILOMETRICO AZUL|P.MATE|001|018|D|UNI|DOC|CTO|GZA
000811|BOLIGRAFO P.M KILOMETRICO ROJO|P.MATE|001|018|D|UNI|DOC|CTO|GZA
